"","lrscale","trstep","trstun","stfdem","stfhlth","gincdif","freehms","hmsfmlsh","hmsacld","euftf","imsmetn","imdfetn","impcntr","imbgeco","imueclt","imwbcnt","atcherp","rlgdgr","ipeqopt","ipudrst","ipstrgv","impenv","imptrad","gndr","prtclcgb","agea"
"487",4,1,1,1,3,3,3,3,3,1,3,4,3,2,3,2,2,1,1,1,2,2,1,2,7,36
"488",3,1,1,2,3,2,1,5,1,2,2,2,3,1,3,2,3,2,2,1,2,1,2,2,NA,54
"489",3,1,3,4,3,2,2,4,3,2,3,3,3,2,2,2,1,1,2,2,1,1,2,1,NA,61
"490",3,1,1,1,3,1,1,5,1,3,2,2,2,2,2,3,3,2,1,1,1,1,3,2,NA,68
"491",2,2,3,3,4,1,1,5,1,3,1,1,1,3,4,3,3,1,1,2,1,1,2,2,NA,40
"492",3,3,3,3,3,2,3,2,3,3,3,3,3,4,3,3,3,3,1,1,3,1,2,2,NA,31
"493",4,3,3,4,3,2,3,4,4,1,3,2,3,3,4,3,2,1,1,1,1,1,2,2,10,45
"494",NA,2,1,4,2,5,1,4,2,3,2,2,2,4,4,4,3,1,3,3,2,2,3,2,1,54
"495",4,2,4,4,4,1,1,5,1,2,2,2,2,4,4,4,3,3,1,1,1,1,1,2,NA,64
"496",NA,1,3,3,3,2,1,5,1,2,2,2,2,4,4,4,3,3,1,1,1,1,2,2,4,64
"497",NA,NA,NA,3,1,2,1,5,3,3,2,2,2,3,4,4,1,3,1,1,2,1,1,2,NA,39
"498",3,2,5,3,5,3,1,5,2,3,2,3,4,4,4,3,3,3,1,1,2,1,1,1,3,79
"499",NA,3,3,3,3,3,NA,NA,NA,NA,2,2,2,4,4,4,3,5,1,1,1,1,1,2,1,36
"500",3,2,3,3,3,1,2,5,1,4,2,2,3,3,3,3,3,3,2,1,1,1,1,2,NA,51
"501",4,3,4,3,3,3,2,4,2,3,2,2,2,4,4,3,2,3,2,1,1,1,1,2,1,51
"502",2,4,4,5,4,2,1,5,1,3,1,2,1,4,4,4,3,3,2,1,1,1,2,2,4,17
"503",4,1,1,1,3,2,2,4,2,2,3,4,3,2,2,2,2,4,1,1,1,1,1,2,NA,74
"504",NA,1,1,NA,1,2,4,4,4,NA,4,4,4,1,1,1,1,4,2,3,3,1,1,2,NA,70
"505",3,3,4,4,4,2,2,4,2,3,2,4,1,3,3,3,4,4,2,2,2,1,1,1,7,15
"506",2,3,3,3,3,1,1,5,1,3,1,1,1,4,5,4,3,1,1,1,1,2,3,2,2,80
"507",NA,3,4,4,4,3,1,5,2,3,1,1,1,3,3,4,3,2,1,1,2,1,2,2,1,33
"508",3,2,5,5,5,2,2,4,3,2,3,4,4,3,4,3,3,4,1,2,1,1,1,1,1,87
"509",2,3,5,4,3,2,1,5,1,3,2,2,2,4,5,5,4,3,1,1,1,1,1,2,2,45
"510",3,3,4,3,3,2,3,4,4,2,2,3,3,3,1,1,1,2,1,2,1,1,2,1,2,77
"511",3,1,2,2,2,2,2,5,1,3,3,3,4,2,2,2,2,1,1,1,1,2,1,2,3,30
"512",2,1,1,3,3,3,5,1,5,1,4,4,4,1,2,2,1,2,NA,NA,NA,NA,NA,2,NA,85
"513",3,4,4,4,3,1,1,5,2,5,2,2,2,3,5,3,4,3,1,2,1,2,2,1,3,90
"514",4,3,4,4,5,4,1,5,1,1,3,3,3,4,4,3,2,3,1,1,1,1,1,1,1,41
"515",3,1,3,2,5,2,3,4,2,3,1,2,2,4,5,5,3,2,1,1,1,1,1,2,2,72
"516",2,2,2,3,3,2,1,5,5,3,2,2,2,4,5,5,3,2,1,1,3,1,3,1,NA,30
"517",2,1,3,2,4,1,2,5,1,3,2,2,3,1,2,2,1,4,1,1,1,1,1,1,7,33
"518",3,1,1,1,2,5,2,4,4,1,2,2,2,3,2,3,1,4,2,1,1,1,1,1,7,69
"519",3,3,3,3,3,2,2,4,2,2,3,3,3,2,2,1,3,1,2,2,1,3,2,2,NA,28
"520",3,3,4,3,4,3,1,5,1,3,2,2,1,5,5,5,3,1,1,1,3,1,3,1,NA,32
"521",3,3,3,4,3,2,1,5,2,4,2,2,2,3,2,4,4,1,1,1,1,1,1,2,NA,35
"522",4,2,4,5,3,1,1,5,1,1,2,2,2,4,4,4,2,4,1,1,1,1,1,2,1,54
"523",3,3,4,4,3,1,1,5,1,2,2,2,2,4,4,2,4,4,1,1,1,1,1,1,2,58
"524",NA,3,2,2,3,2,5,1,5,4,3,4,4,2,2,1,1,3,1,3,2,2,3,1,NA,30
"525",3,1,1,2,1,1,1,5,1,1,3,4,4,1,1,1,1,1,2,1,1,1,3,2,NA,19
"526",3,3,3,3,3,1,1,5,2,4,1,2,3,5,4,4,5,5,1,1,1,1,1,1,3,80
"527",3,3,3,2,3,1,1,5,2,3,4,3,3,2,2,3,3,1,1,1,1,1,1,1,4,56
"528",3,1,NA,1,4,3,1,4,2,3,2,2,2,3,3,3,3,3,2,2,1,1,1,2,NA,81
"529",3,2,2,3,3,3,2,4,2,3,2,2,2,4,4,4,3,1,3,1,3,1,3,2,NA,37
"530",3,4,4,3,3,2,1,5,1,3,2,2,2,4,5,5,4,1,1,2,2,1,2,2,3,38
"531",3,3,3,3,3,2,2,4,2,3,3,3,3,3,4,3,3,3,2,2,2,2,2,2,1,35
"532",NA,2,3,3,2,2,2,5,3,3,2,2,2,4,4,3,4,3,1,1,1,2,1,2,NA,48
"533",3,2,3,3,3,2,1,5,1,3,2,2,2,3,3,3,3,3,2,2,1,1,1,1,2,55
"534",3,1,3,3,1,2,2,5,2,3,2,2,2,3,3,3,4,3,1,1,2,1,1,2,2,37
"535",3,1,1,3,4,4,5,1,2,3,2,3,3,3,1,2,4,2,2,1,1,1,1,2,NA,40
"536",3,2,3,3,3,5,1,5,1,2,1,1,1,3,4,3,2,1,1,1,2,1,3,1,1,65
"537",2,3,NA,3,3,3,1,5,1,3,1,1,1,3,5,5,4,1,3,1,3,1,2,2,NA,26
"538",3,1,3,4,4,2,1,4,2,1,3,3,3,4,3,3,3,4,1,2,1,1,2,1,1,80
"539",NA,3,3,3,3,1,1,5,1,5,1,2,2,5,5,5,4,1,1,2,1,3,2,2,NA,26
"540",3,2,NA,3,2,2,2,4,3,2,3,3,3,3,3,3,1,2,2,2,1,2,2,1,NA,59
"541",2,3,4,4,3,2,1,5,1,3,2,2,2,4,5,5,3,1,2,1,1,1,3,2,3,55
"542",3,2,3,3,5,4,5,1,4,3,3,2,2,1,1,2,2,5,3,3,1,1,1,1,NA,59
"543",3,3,3,3,4,2,1,5,2,3,2,2,2,4,5,4,3,1,1,1,1,1,3,1,NA,31
"544",3,3,3,4,4,3,1,5,1,3,2,2,2,3,4,4,4,2,1,1,1,1,2,2,2,34
"545",3,1,3,3,3,1,1,5,2,3,1,1,1,5,5,5,1,2,1,1,1,2,3,1,NA,42
"546",3,2,3,2,3,2,2,4,5,3,2,4,4,3,1,2,3,3,1,2,1,1,2,2,6,54
"547",3,3,3,3,3,2,3,3,3,3,1,1,2,4,3,3,2,4,1,1,2,1,3,2,NA,37
"548",2,1,5,3,1,2,1,5,2,3,3,3,3,NA,1,3,3,4,1,2,1,1,1,2,NA,56
"549",4,3,3,4,3,4,1,5,2,3,1,2,3,4,4,3,3,3,1,1,1,2,1,2,1,48
"550",3,3,2,5,3,2,2,4,5,NA,3,4,3,3,NA,3,1,3,NA,NA,NA,NA,NA,1,1,56
"551",3,3,3,3,4,2,2,4,2,3,3,3,3,5,4,4,4,2,1,3,1,1,2,1,NA,50
"552",3,3,3,3,3,2,1,5,1,2,1,1,1,5,5,5,4,1,1,1,1,1,1,2,NA,43
"553",3,1,1,1,3,1,1,5,1,NA,3,3,3,3,3,2,1,1,1,1,1,1,1,2,2,43
"554",3,2,3,3,4,2,2,4,3,3,1,1,1,3,4,4,3,5,1,1,1,1,1,2,NA,70
"555",5,3,1,4,3,1,4,2,4,4,2,2,1,5,1,4,3,4,1,1,1,1,1,1,2,51
"556",3,1,3,2,4,4,2,5,2,2,2,3,3,3,4,3,3,2,1,2,2,1,1,2,4,61
"557",3,1,4,3,3,1,1,5,1,4,2,1,4,4,4,3,2,4,1,1,1,1,1,2,2,39
"558",4,2,3,4,4,3,2,4,4,2,3,3,3,3,2,3,3,2,2,1,1,1,3,1,NA,74
"559",NA,3,3,1,4,1,1,5,1,3,2,2,2,4,5,4,4,4,1,1,1,1,1,2,3,62
"560",3,3,3,3,3,3,2,5,2,3,2,2,3,4,4,3,3,3,2,1,1,2,2,1,NA,67
"561",4,2,4,3,4,3,2,4,2,2,3,3,3,3,3,3,2,3,2,2,1,1,1,2,1,56
"562",3,2,2,1,4,1,1,5,1,5,1,1,1,4,5,3,5,1,1,1,2,1,3,2,2,24
"563",NA,1,1,4,5,4,2,3,4,5,3,4,4,2,3,1,4,3,2,2,3,1,1,1,NA,56
"564",2,2,3,3,NA,2,1,5,2,2,2,2,2,4,5,4,4,1,1,1,1,1,1,1,6,51
"565",3,4,5,4,3,2,2,5,1,4,2,2,2,3,3,3,3,2,2,2,1,2,2,2,NA,17
"566",3,3,3,3,1,2,3,3,3,3,3,3,3,3,3,2,1,2,1,1,2,1,2,1,NA,41
"567",2,5,4,1,4,2,1,5,2,4,1,1,1,5,5,4,4,3,1,1,1,1,1,1,4,71
"568",1,5,5,4,2,1,1,5,1,3,2,2,2,4,3,3,3,1,1,1,1,1,1,1,NA,49
"569",2,5,4,3,2,3,1,4,4,4,2,3,3,4,3,3,5,3,1,1,1,1,1,2,NA,40
"570",5,3,3,3,4,4,1,5,1,3,2,3,3,4,2,2,3,1,2,1,1,2,1,2,1,43
"571",4,3,3,4,5,4,1,4,3,4,2,3,3,3,4,3,4,4,2,1,1,1,1,2,1,90
"572",3,2,4,2,3,2,1,5,1,3,2,2,2,4,3,4,1,1,1,1,1,1,2,2,NA,26
"573",5,1,1,1,1,3,2,4,5,1,1,3,NA,1,1,1,1,1,2,2,1,2,2,1,7,65
"574",NA,3,3,4,3,2,1,5,1,NA,2,2,2,3,3,NA,3,1,1,1,1,1,3,2,NA,33
"575",3,2,2,3,1,2,2,4,5,NA,3,3,3,3,3,3,5,4,1,1,1,1,2,2,NA,87
"576",1,1,3,2,5,1,1,4,2,1,1,1,1,4,5,5,1,3,1,1,1,1,2,1,2,56
"577",3,1,4,3,5,1,2,5,3,NA,2,3,3,3,3,3,4,3,2,2,1,2,3,2,NA,67
"578",3,2,3,3,2,1,1,5,2,3,2,2,2,3,3,3,1,1,1,1,2,1,1,1,4,57
"579",3,1,4,4,5,4,1,5,2,1,2,2,2,3,3,3,1,1,2,1,3,1,3,2,1,61
"580",3,4,5,4,2,3,1,5,2,2,3,3,3,3,3,3,3,2,1,1,1,1,2,2,NA,36
"581",3,5,5,4,2,2,2,4,1,4,3,3,3,4,4,4,4,3,2,2,1,2,2,2,1,59
"582",4,3,4,5,4,3,1,5,3,2,2,2,2,3,4,3,4,3,1,1,1,1,3,2,NA,71
"583",4,2,3,4,2,4,2,5,2,2,2,2,2,4,3,3,3,2,2,1,1,1,1,2,1,58
"584",3,1,1,1,2,1,3,3,3,1,2,3,3,2,3,2,1,1,1,2,3,1,1,1,NA,67
"585",2,3,3,3,4,2,2,4,2,3,2,2,2,4,4,4,3,3,2,1,2,1,3,1,3,64
"586",2,4,3,4,4,2,3,3,3,3,2,2,2,5,5,5,3,3,2,2,1,1,1,1,2,56
"587",3,4,4,3,3,2,1,5,2,3,2,2,2,4,4,4,4,2,1,1,2,1,2,2,3,38
"588",4,1,3,2,3,3,1,5,1,1,3,3,3,3,3,3,2,3,2,1,1,1,1,2,1,52
"589",3,3,4,4,4,2,2,5,3,2,2,2,2,3,4,4,4,3,2,1,2,1,3,2,NA,62
"590",2,3,3,1,2,1,1,5,1,3,1,1,1,5,5,4,3,2,1,1,2,1,3,1,6,44
"591",3,3,3,3,4,3,1,5,1,3,2,2,2,4,4,4,4,1,1,1,2,1,3,1,2,33
"592",NA,3,4,4,5,3,1,5,2,NA,NA,NA,NA,3,4,3,3,2,1,1,2,1,1,2,NA,51
"593",3,3,3,2,4,1,1,5,1,4,2,2,2,5,5,5,4,1,2,2,2,2,3,2,NA,59
"594",3,1,2,1,3,1,1,5,2,1,4,4,4,1,1,1,1,1,1,1,1,1,3,1,2,26
"595",2,1,3,3,4,2,2,4,2,2,3,3,3,4,3,3,3,3,1,1,1,3,1,1,4,71
"596",4,3,4,5,3,2,1,5,2,3,2,2,2,4,4,4,3,3,1,1,1,1,1,2,NA,48
"597",3,2,2,4,3,1,1,5,2,3,2,2,2,4,3,4,5,4,2,1,1,1,2,1,1,57
"598",3,2,2,2,4,2,2,4,2,3,2,2,3,4,4,3,3,2,2,2,2,1,2,2,3,63
"599",5,3,4,4,4,2,2,4,3,2,2,2,2,2,3,2,1,2,1,1,1,1,1,2,1,84
"600",3,2,3,4,4,3,1,5,1,1,2,3,3,4,4,5,3,4,1,1,1,1,1,2,2,55
"601",3,3,4,3,3,2,2,4,3,3,2,2,3,3,3,3,3,3,1,1,1,1,1,1,NA,70
"602",NA,2,NA,NA,NA,3,1,5,1,NA,2,2,2,3,3,3,1,1,2,2,3,2,3,1,NA,28
"603",3,2,3,2,2,2,1,5,1,2,2,2,2,5,4,3,3,2,1,1,1,1,1,2,NA,30
"604",3,1,2,1,4,1,1,4,5,4,2,2,2,5,4,4,4,3,1,1,1,1,1,1,NA,56
"605",3,3,3,1,1,1,1,5,1,5,1,1,1,3,5,4,4,5,1,1,1,1,1,2,13,48
"606",2,1,3,3,3,1,2,3,2,3,1,1,1,3,4,4,3,3,1,1,1,1,2,1,2,NA
"607",4,3,3,2,4,4,3,3,4,2,3,3,3,2,2,2,2,3,2,1,1,1,2,2,1,86
"608",3,1,4,4,1,1,1,5,3,4,3,3,3,4,4,3,3,1,1,1,1,1,3,1,3,74
"609",3,1,2,3,4,2,2,4,4,2,2,2,4,4,3,2,3,3,3,1,1,1,1,2,1,78
"610",3,3,3,4,3,3,1,5,1,4,2,2,2,3,4,4,3,1,1,1,1,2,2,1,NA,24
"611",2,1,2,3,3,2,1,5,2,1,2,2,2,3,4,3,1,3,1,1,2,3,1,1,19,35
"612",NA,1,2,1,2,2,2,4,2,NA,3,3,3,3,2,3,2,1,1,1,1,1,3,2,2,39
"613",3,1,3,3,2,3,2,5,2,3,3,3,3,3,3,3,1,1,1,2,2,1,1,1,NA,54
"614",4,3,4,4,4,2,2,4,4,2,2,3,3,3,4,3,3,3,1,1,1,1,2,1,1,82
"615",3,2,4,3,5,4,2,3,3,4,2,2,2,5,3,2,4,3,2,1,1,1,1,1,NA,68
"616",2,3,3,3,3,1,1,5,1,3,1,1,1,4,5,5,4,1,1,1,2,1,3,1,2,57
"617",3,2,3,1,1,3,1,5,1,3,1,1,1,4,3,3,3,2,1,1,3,1,2,2,NA,62
"618",NA,3,4,3,5,2,1,5,2,4,2,2,3,3,3,3,4,4,1,1,1,1,1,2,NA,68
"619",3,2,3,4,3,2,1,5,2,1,3,3,3,3,3,3,3,1,1,1,2,2,3,1,NA,63
"620",4,3,3,4,3,3,1,5,1,4,2,2,3,3,3,4,4,1,1,2,2,1,3,2,1,65
"621",3,NA,4,2,1,1,1,5,1,5,3,2,2,3,3,3,3,3,1,1,1,1,1,1,NA,58
"622",4,2,4,2,4,2,2,4,4,2,3,3,3,4,2,2,4,3,1,1,1,1,1,1,2,89
"623",3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,2,2,2,3,2,1,2,2,NA,38
"624",3,1,2,3,4,2,2,4,2,2,1,1,1,3,4,4,2,2,2,1,1,2,2,2,NA,66
"625",NA,NA,3,4,3,3,1,5,2,4,2,2,2,3,5,3,4,1,1,2,1,2,3,2,2,29
"626",3,2,3,3,3,2,1,1,3,2,2,2,3,3,3,3,3,3,2,1,1,1,1,1,NA,82
"627",3,4,4,5,3,2,2,2,2,3,1,2,2,3,4,4,4,5,1,2,1,2,1,1,2,40
"628",3,2,3,1,4,4,2,5,2,4,1,1,1,4,5,4,4,2,2,1,2,2,2,2,NA,73
"629",3,1,2,3,3,3,2,4,3,2,2,2,2,3,NA,NA,2,4,1,1,1,1,1,2,1,65
"630",3,3,3,3,4,2,2,4,3,3,3,3,3,3,3,3,1,3,2,2,1,2,2,2,NA,74
"631",3,4,4,3,4,2,1,5,1,3,1,1,1,4,4,4,3,4,1,1,1,1,1,2,NA,42
"632",3,4,4,2,1,5,1,5,1,5,2,2,2,4,5,4,5,5,3,1,1,1,3,2,NA,45
"633",3,3,4,3,3,2,2,4,2,2,2,2,2,4,3,4,3,3,2,1,1,1,2,2,NA,58
"634",3,2,5,2,3,2,2,3,4,2,3,3,3,4,3,2,5,5,2,2,1,1,1,2,3,66
"635",3,3,4,5,3,1,1,5,2,2,2,2,2,5,5,4,3,1,1,1,2,1,3,1,NA,38
"636",3,3,3,4,2,2,1,5,1,4,2,2,2,3,4,4,3,1,1,1,1,1,2,1,NA,26
"637",4,1,3,3,3,1,2,4,3,3,2,2,2,3,4,3,4,3,1,1,2,1,2,1,1,51
"638",3,2,2,3,3,2,1,5,1,3,3,3,3,1,2,2,3,3,1,1,1,1,1,2,2,53
"639",3,2,3,2,3,2,1,5,1,3,3,3,3,3,3,2,3,1,1,1,2,2,3,2,2,42
"640",3,1,4,2,2,2,1,5,1,1,3,3,3,2,3,3,3,1,1,2,2,2,1,2,NA,36
"641",2,2,2,2,2,2,1,5,1,3,2,2,2,4,5,4,4,1,1,1,2,1,3,1,2,62
"642",3,NA,NA,1,2,1,1,5,1,NA,1,1,2,4,5,4,1,1,1,2,3,2,2,1,NA,42
"643",2,1,2,3,1,2,2,5,2,3,3,3,3,2,2,2,2,1,2,1,1,1,2,1,NA,30
"644",2,1,3,1,5,1,2,4,4,1,3,3,3,3,3,3,1,1,1,1,1,2,3,1,2,82
"645",3,1,1,5,3,4,2,4,2,1,2,2,3,3,4,3,1,3,1,1,1,2,2,2,1,62
"646",4,1,1,1,4,2,2,4,2,2,NA,NA,NA,3,1,3,1,2,1,1,1,2,1,2,7,56
"647",4,3,3,4,2,2,2,5,4,5,2,2,2,3,3,3,3,5,1,1,1,1,1,2,1,68
"648",4,3,4,4,3,2,1,5,1,2,2,2,2,4,4,4,4,3,1,1,1,1,3,2,1,48
"649",4,3,3,3,3,2,2,2,4,4,2,2,2,5,5,4,4,4,1,1,2,2,2,1,NA,62
"650",3,3,3,3,4,2,1,5,1,4,1,2,2,4,3,3,3,3,1,1,1,1,1,2,NA,78
"651",3,2,3,3,3,3,2,4,2,2,2,2,2,3,4,3,2,2,1,1,1,1,1,1,1,63
"652",4,3,4,4,4,3,2,4,2,4,2,2,2,3,4,5,4,5,1,3,1,2,2,1,NA,32
"653",2,1,3,3,3,2,1,5,1,4,2,2,2,4,5,4,4,2,1,1,2,1,3,1,6,45
"654",1,3,3,3,3,2,1,5,1,4,1,1,1,4,5,5,3,2,1,2,3,1,3,1,2,71
"655",3,1,1,4,4,4,2,5,2,1,2,2,3,4,4,3,1,2,1,2,1,1,2,1,1,62
"656",3,3,4,3,3,2,2,4,2,4,3,2,3,4,4,4,5,4,2,2,2,1,1,2,NA,40
"657",4,3,4,4,4,3,1,5,2,1,1,2,2,4,4,4,4,2,1,2,2,1,3,1,1,62
"658",NA,4,5,4,3,4,3,4,3,3,1,1,1,4,3,3,3,4,1,2,1,2,2,2,NA,45
"659",3,3,3,2,3,3,1,5,2,4,1,2,2,4,4,4,4,4,1,1,3,1,3,1,6,71
"660",NA,2,3,4,3,2,2,5,2,4,3,3,3,4,4,4,4,1,2,1,1,1,3,1,NA,37
"661",NA,4,4,4,4,3,1,5,1,2,NA,2,2,3,3,3,2,1,1,1,2,1,1,1,NA,28
"662",3,1,3,1,2,1,1,5,1,2,2,2,2,4,3,3,1,1,1,1,2,1,3,2,NA,33
"663",4,3,3,4,4,4,1,4,1,NA,2,2,2,3,3,4,3,2,3,1,2,1,3,2,1,70
"664",3,3,3,3,3,2,2,4,2,1,3,3,3,4,3,3,3,3,2,1,2,2,2,2,NA,71
"665",5,3,4,5,4,5,1,5,3,1,2,2,2,4,3,3,4,4,1,1,1,1,1,2,1,78
"666",3,5,4,5,4,2,1,5,2,2,2,2,2,4,3,4,2,1,1,1,1,2,3,1,1,56
"667",3,3,3,3,3,2,2,4,4,2,2,2,2,3,3,3,2,3,2,2,2,1,3,2,NA,NA
"668",4,3,4,3,3,2,2,4,3,4,1,2,2,4,4,4,4,3,1,1,1,1,1,2,NA,67
"669",3,1,3,3,3,2,2,1,2,1,2,3,3,3,3,3,2,2,NA,NA,NA,NA,NA,2,NA,49
"670",3,3,3,5,4,1,1,5,1,3,2,2,NA,4,4,3,4,4,1,2,1,2,3,2,2,54
"671",3,2,1,1,2,1,2,4,2,3,2,2,2,4,4,4,3,1,1,1,3,1,1,1,2,65
"672",2,3,4,2,2,2,2,3,4,3,2,2,2,4,3,4,3,4,1,1,NA,2,2,1,2,70
"673",2,3,5,4,2,1,1,5,1,4,1,1,1,5,5,5,3,3,1,1,1,1,2,1,2,21
"674",1,1,1,1,3,1,1,5,1,3,1,1,1,4,4,4,2,2,1,1,1,1,3,1,2,55
"675",4,3,4,4,4,3,2,5,2,3,2,2,2,4,4,4,3,4,1,1,2,1,2,1,1,48
"676",2,2,2,2,3,1,1,5,1,5,1,1,1,5,5,5,3,1,1,2,3,1,3,1,2,68
"677",4,3,4,3,4,2,2,4,2,3,2,2,3,3,4,4,4,1,1,2,1,1,1,1,1,58
"678",2,4,4,2,4,4,1,5,2,4,2,2,2,5,5,5,3,2,2,2,2,2,3,1,2,42
"679",3,3,3,3,5,1,1,5,1,2,1,2,2,4,4,3,3,3,1,2,1,1,2,2,NA,29
"680",NA,NA,4,3,4,2,2,4,4,NA,3,3,4,2,3,1,1,1,1,2,1,1,1,1,NA,52
"681",NA,1,2,2,4,2,2,5,4,2,2,2,3,3,3,NA,1,3,1,1,1,1,2,1,2,71
"682",4,3,3,4,3,4,1,5,1,3,2,2,2,4,4,3,4,2,3,2,1,1,2,2,1,37
"683",3,3,4,2,3,2,1,5,1,3,1,1,1,3,4,4,4,4,1,1,1,1,2,2,2,69
"684",3,3,3,3,3,2,1,5,1,3,2,2,2,4,4,4,4,3,1,1,1,1,2,2,2,49
"685",3,2,2,2,2,2,1,5,1,3,3,3,3,3,1,2,1,1,3,1,2,1,3,2,NA,45
"686",4,4,4,4,4,3,1,5,1,4,1,1,1,4,4,4,4,1,1,1,1,1,1,1,1,57
"687",3,3,3,3,3,2,2,4,3,3,2,2,2,4,3,3,3,3,2,2,2,1,2,1,NA,69
"688",4,2,2,4,3,3,1,5,2,3,3,3,3,2,2,2,3,1,2,2,1,1,2,1,1,52
"689",4,1,2,3,3,2,2,3,2,2,2,2,3,3,3,3,4,3,2,2,1,2,1,1,1,71
"690",3,2,2,3,2,1,1,5,1,3,1,1,2,4,4,4,2,1,1,1,2,1,1,2,1,51
"691",3,1,1,2,3,1,2,4,2,1,3,2,2,3,2,3,1,1,1,2,1,1,1,1,NA,59
"692",3,2,3,4,4,3,2,4,2,3,2,2,2,3,3,3,4,3,1,1,1,1,2,1,NA,67
"693",3,1,4,3,3,4,1,5,2,1,NA,NA,NA,NA,3,3,1,3,3,1,2,1,1,2,NA,59
"694",3,3,4,4,4,2,1,5,2,4,2,2,2,4,4,4,5,3,1,1,1,2,1,2,NA,67
"695",3,3,4,3,5,3,3,4,3,3,1,1,3,3,3,4,3,4,1,1,1,2,1,2,NA,39
"696",1,3,4,2,2,1,1,5,2,5,2,1,2,4,4,4,3,2,1,1,2,1,2,1,2,53
"697",1,1,1,2,3,1,1,5,1,3,2,2,3,3,1,1,1,3,1,1,1,1,1,1,2,51
"698",3,3,4,3,3,3,2,5,2,3,2,2,3,3,2,3,3,3,1,1,1,1,1,2,1,55
"699",NA,2,3,3,1,3,2,5,2,3,2,2,2,2,1,3,1,1,1,1,1,1,1,1,6,51
"700",3,3,3,3,4,2,1,5,2,NA,2,2,2,4,4,4,3,3,3,1,1,3,2,1,NA,36
"701",4,3,4,5,4,2,1,5,1,3,2,2,2,4,4,3,4,4,1,1,1,1,1,2,1,58
"702",NA,1,1,3,4,2,2,4,2,3,2,2,2,4,4,3,4,1,2,1,1,3,3,2,2,38
"703",NA,NA,NA,NA,3,2,2,4,3,NA,3,3,3,NA,NA,NA,3,3,1,1,1,1,2,2,NA,52
"704",4,2,3,4,4,5,2,3,4,3,2,2,2,3,3,3,3,4,1,1,1,1,1,1,1,77
"705",3,3,4,5,3,1,1,5,2,3,2,2,2,4,4,4,4,2,1,1,3,1,1,2,NA,31
"706",4,2,3,2,4,4,2,4,2,1,2,2,3,3,3,3,4,4,1,1,1,2,1,2,NA,67
"707",3,2,4,4,2,3,2,4,3,3,2,2,2,3,3,3,3,3,2,2,1,2,2,1,NA,50
"708",1,3,3,3,4,1,3,3,4,3,1,1,1,3,3,1,3,1,1,2,1,1,2,1,2,58
"709",3,3,3,4,3,1,1,5,1,4,1,1,1,4,4,4,3,2,2,2,2,1,2,2,2,60
"710",4,4,NA,3,4,3,2,4,2,3,2,2,2,3,3,3,2,1,3,3,2,3,3,1,NA,18
"711",3,1,4,2,2,2,1,4,2,3,3,3,4,1,4,2,5,3,1,1,1,1,1,2,NA,61
"712",4,2,3,4,5,1,2,5,1,NA,2,2,1,4,5,4,4,5,1,1,2,1,1,2,3,86
"713",4,1,3,4,4,4,1,4,2,2,3,3,3,3,3,3,4,2,1,1,1,1,1,1,1,84
"714",3,1,5,5,4,4,1,5,1,4,1,1,1,4,2,3,1,1,1,2,2,1,1,1,6,23
"715",3,3,2,4,4,4,1,5,4,2,2,2,2,3,4,3,4,3,1,1,1,1,1,1,1,58
"716",3,2,2,2,2,1,2,5,1,2,2,2,2,4,3,3,3,5,1,1,1,1,1,2,NA,66
"717",3,1,1,2,3,2,2,4,2,3,3,3,3,2,2,2,3,1,1,1,2,1,1,2,NA,34
"718",1,1,3,1,3,2,1,5,3,1,4,4,2,1,1,1,1,2,1,1,1,1,3,2,2,67
"719",3,NA,5,3,5,3,2,4,NA,NA,3,3,3,4,5,5,3,1,1,2,1,2,1,1,1,76
"720",3,3,3,4,5,3,2,5,2,3,3,3,2,3,3,3,2,1,1,1,1,2,1,2,NA,28
"721",3,3,4,3,3,4,1,5,3,2,2,2,2,4,4,4,2,3,3,2,1,1,1,1,NA,33
"722",4,1,4,3,4,4,1,5,2,1,2,2,2,3,4,3,2,3,1,1,2,2,2,2,1,57
"723",3,1,1,1,2,2,2,4,3,3,3,3,2,3,3,3,1,1,2,1,1,1,2,1,NA,30
"724",3,1,4,3,4,2,2,4,2,3,2,2,2,4,3,4,2,1,1,1,1,1,3,1,1,48
"725",2,1,1,2,3,3,2,4,3,2,2,3,2,2,3,2,2,3,1,2,2,1,1,2,1,79
"726",3,2,3,3,4,4,2,3,4,2,1,1,3,4,4,4,2,4,2,2,3,3,1,1,NA,40
"727",NA,3,1,1,3,1,1,5,1,3,NA,NA,NA,4,3,3,3,3,2,1,2,1,1,1,8,40
"728",3,2,NA,4,4,1,1,5,1,3,1,1,1,3,4,3,4,1,1,1,1,1,1,2,NA,25
"729",4,1,1,2,3,3,1,5,1,3,2,2,2,2,3,3,1,1,2,2,2,3,3,1,7,18
"730",3,1,1,2,1,1,2,4,3,3,3,2,2,3,3,2,2,1,1,2,1,1,1,1,NA,63
"731",3,1,1,NA,4,4,1,5,2,NA,1,2,1,3,NA,1,1,1,2,2,3,3,2,2,NA,33
"732",3,4,4,5,4,4,1,5,1,3,1,1,1,5,5,4,NA,2,1,1,2,2,3,2,NA,31
"733",3,3,3,3,4,2,2,4,3,3,1,2,2,4,4,4,4,3,2,1,2,1,2,2,4,69
