"","lrscale","trstep","trstun","stfdem","stfhlth","gincdif","freehms","hmsfmlsh","hmsacld","euftf","imsmetn","imdfetn","impcntr","imbgeco","imueclt","imwbcnt","atcherp","rlgdgr","ipeqopt","ipudrst","ipstrgv","impenv","imptrad","gndr","prtclcgb","agea"
"75",1,3,3,4,3,3,2,4,2,2,2,2,3,4,3,5,2,5,1,1,1,1,1,2,NA,30
"76",3,4,4,3,3,2,2,3,1,4,2,2,2,3,5,4,3,3,1,1,1,1,1,1,2,17
"77",3,2,2,2,3,2,1,5,1,2,3,3,3,3,3,3,1,1,1,1,1,1,1,2,NA,54
"78",NA,2,3,2,3,1,1,5,2,3,2,2,2,3,3,3,3,2,1,1,2,1,3,2,NA,56
"79",3,1,1,3,2,4,2,4,2,1,2,2,2,4,4,4,1,1,1,1,1,2,1,2,1,72
"80",2,3,4,2,2,2,2,3,4,3,2,3,3,3,3,3,4,1,2,1,1,1,1,1,3,71
"81",NA,5,NA,NA,4,1,1,5,1,NA,1,NA,NA,3,3,4,1,2,1,1,1,1,2,1,NA,19
"82",3,4,4,4,3,2,1,5,1,3,2,2,2,3,4,3,4,2,1,2,1,1,1,2,2,49
"83",3,3,3,4,4,2,2,5,2,4,2,2,2,4,3,3,3,2,1,1,1,1,3,1,NA,29
"84",3,1,1,3,4,3,2,4,2,3,3,4,4,3,2,1,2,3,1,2,1,1,1,2,NA,71
"85",3,5,4,3,5,1,3,3,5,3,2,2,2,4,4,3,4,4,1,1,1,1,1,1,NA,36
"86",5,1,4,4,3,2,2,4,2,4,2,2,2,3,3,3,4,4,1,1,1,1,1,1,1,82
"87",4,1,4,5,3,4,1,5,4,1,2,2,2,2,1,2,1,2,3,2,2,2,1,2,1,60
"88",NA,3,3,2,3,1,2,4,2,NA,4,4,4,1,1,1,1,1,2,3,2,2,3,1,NA,41
"89",3,4,3,3,3,2,2,4,2,3,1,1,1,3,4,4,3,1,1,1,1,1,3,2,NA,27
"90",3,NA,NA,1,1,1,1,5,1,NA,NA,NA,NA,2,NA,3,1,1,1,1,2,1,2,1,2,48
"91",3,1,3,3,2,2,2,4,3,2,3,3,3,3,2,3,2,1,1,1,1,1,1,1,2,48
"92",3,3,4,4,3,2,2,4,2,3,1,2,3,4,4,4,4,3,1,2,2,1,1,1,1,61
"93",NA,NA,NA,NA,4,2,2,4,NA,NA,2,2,2,3,3,3,1,5,1,1,1,1,1,2,2,70
"94",3,2,2,3,2,2,1,5,1,3,2,2,2,3,2,2,1,1,1,2,1,1,2,2,NA,39
"95",3,2,2,3,3,2,2,4,4,3,3,3,4,3,3,3,2,3,3,2,2,2,3,1,NA,49
"96",4,NA,5,4,3,4,1,5,2,3,NA,NA,NA,4,5,5,4,2,2,1,1,1,2,1,1,54
"97",4,2,4,4,3,3,2,4,2,3,3,3,3,3,4,4,3,4,1,1,1,1,1,1,1,79
"98",2,3,3,3,3,2,1,5,1,3,1,2,2,4,4,4,2,1,1,2,1,2,1,2,2,41
"99",1,1,1,1,1,1,1,5,4,1,3,4,4,3,3,1,1,1,1,1,1,1,1,2,2,61
"100",3,1,2,2,1,1,1,4,2,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2,NA,50
"101",3,3,5,4,3,3,1,4,2,5,2,2,2,5,4,3,4,2,1,1,2,1,1,1,NA,23
"102",3,2,3,2,2,2,1,5,1,2,2,2,2,4,5,5,1,1,1,1,2,1,2,1,NA,40
"103",2,2,3,3,4,3,1,5,1,4,2,2,2,3,4,4,3,2,1,1,1,1,3,2,2,29
"104",2,3,3,5,4,1,1,5,1,3,1,1,1,4,3,4,3,1,1,1,1,1,2,2,1,19
"105",4,1,1,3,4,2,2,4,5,1,2,3,3,2,3,3,3,3,1,1,1,1,1,1,1,82
"106",4,4,4,4,4,3,1,5,1,3,1,1,1,4,3,3,4,4,1,1,1,1,3,1,NA,19
"107",2,3,3,2,1,2,2,5,2,3,2,2,2,3,3,3,2,3,1,1,2,2,2,2,12,42
"108",4,1,4,2,3,2,2,4,4,1,2,2,2,3,2,2,3,4,1,1,1,1,1,1,1,82
"109",3,3,4,4,4,2,2,4,3,4,2,2,2,4,4,4,3,2,1,1,1,1,1,1,NA,71
"110",2,2,1,3,4,4,1,4,2,2,3,3,3,3,4,3,3,1,1,1,1,1,1,1,NA,58
"111",3,1,2,3,2,3,1,4,4,1,2,3,3,3,3,3,3,4,1,1,1,1,1,1,1,83
"112",3,4,4,5,4,3,1,5,1,4,1,1,1,5,5,5,5,1,1,2,2,1,2,2,2,51
"113",3,3,4,4,4,2,1,5,3,3,2,2,2,3,4,3,3,5,1,1,1,1,3,2,3,87
"114",2,1,2,2,3,1,1,5,1,2,2,2,2,3,3,3,2,3,2,2,1,1,1,2,2,68
"115",3,3,3,3,3,1,1,5,1,3,2,4,4,1,2,2,2,4,2,2,2,2,2,2,NA,47
"116",3,4,4,3,4,2,1,4,2,4,2,2,2,4,4,4,3,3,1,1,2,1,2,1,3,39
"117",3,3,3,1,2,4,1,5,3,5,3,3,3,4,4,4,4,5,1,1,1,1,1,1,NA,25
"118",2,2,3,2,3,1,2,5,1,3,2,4,3,5,3,2,2,1,1,1,2,1,1,2,2,59
"119",3,2,3,3,5,3,1,5,3,2,4,4,4,2,2,2,3,1,1,2,1,2,3,1,NA,81
"120",3,3,3,3,3,3,1,5,1,3,1,1,1,3,3,4,3,1,2,3,3,3,3,2,NA,26
"121",3,1,3,3,2,1,2,5,2,1,3,3,3,3,3,3,1,3,1,2,1,2,1,2,NA,78
"122",2,3,3,3,3,1,1,5,2,4,2,1,1,5,5,5,4,4,1,1,2,1,2,2,2,38
"123",3,1,1,2,3,2,2,4,2,2,2,3,4,2,3,2,2,1,2,2,1,2,3,1,NA,43
"124",NA,1,4,5,4,2,1,5,1,1,2,2,2,5,3,4,4,2,2,1,1,1,1,2,NA,54
"125",NA,3,3,3,4,2,1,5,1,3,2,2,2,4,5,3,4,4,1,1,2,2,1,2,2,34
"126",4,2,3,4,3,2,1,5,2,3,1,2,3,4,4,3,4,1,2,1,1,2,1,2,2,41
"127",3,3,2,3,3,1,1,5,1,3,2,2,2,4,4,4,5,4,1,1,2,1,3,2,NA,46
"128",3,1,3,2,2,4,2,5,4,1,4,4,4,3,2,3,2,1,3,1,2,1,2,1,NA,54
"129",3,1,2,4,3,4,1,5,1,NA,2,2,2,3,4,3,2,2,1,1,1,1,1,2,NA,67
"130",3,3,3,3,3,1,2,4,3,3,2,2,2,4,4,4,4,3,1,1,2,1,3,1,NA,72
"131",3,2,3,3,3,3,2,3,5,3,2,3,4,3,2,2,2,1,2,1,1,1,1,1,NA,77
"132",3,3,4,4,5,3,2,4,4,2,3,3,3,3,2,2,3,3,2,2,2,1,1,1,1,67
"133",2,2,2,4,4,2,2,3,3,3,2,2,2,4,4,4,3,2,NA,NA,NA,NA,NA,2,2,51
"134",NA,1,1,2,2,1,2,5,NA,NA,4,4,4,2,NA,1,1,1,1,1,NA,2,2,2,NA,32
"135",3,1,3,4,4,3,2,4,3,2,2,2,2,3,4,4,2,1,1,1,1,1,3,1,NA,78
"136",NA,NA,2,3,1,2,2,4,3,NA,1,1,1,NA,4,4,1,5,1,1,2,1,1,2,NA,69
"137",3,NA,NA,3,2,2,1,5,1,3,2,2,2,3,4,3,4,4,1,1,2,1,1,2,2,28
"138",2,3,3,3,3,3,2,3,2,2,2,3,2,3,3,4,3,4,1,2,1,1,2,1,2,54
"139",3,3,3,4,3,3,5,3,5,3,3,3,3,2,2,2,3,5,1,1,1,2,1,2,10,22
"140",4,3,3,3,4,3,2,4,2,3,2,2,2,4,3,3,4,3,2,2,1,2,2,2,1,65
"141",NA,3,NA,4,4,2,2,5,2,3,2,2,2,4,4,4,3,2,1,1,1,1,2,2,NA,30
"142",3,3,3,4,2,2,2,4,2,3,2,2,2,3,3,3,3,4,1,1,2,1,1,2,2,68
"143",5,3,4,3,3,3,1,4,2,3,3,3,3,3,1,2,3,5,1,1,1,1,1,2,1,66
"144",NA,1,NA,NA,3,1,1,5,3,NA,2,2,2,1,2,3,1,1,3,2,1,1,1,2,NA,59
"145",4,2,2,3,4,1,1,5,1,3,2,2,2,4,3,3,2,2,2,3,2,2,1,1,2,81
"146",4,3,3,4,4,2,2,5,2,3,2,2,2,5,3,4,3,3,2,1,2,1,1,1,NA,31
"147",3,3,3,3,3,2,2,5,1,NA,1,1,1,4,5,5,4,1,1,1,2,1,2,2,2,30
"148",5,1,1,2,4,4,NA,NA,NA,NA,4,4,4,1,NA,NA,NA,5,1,3,NA,NA,NA,2,NA,52
"149",4,2,4,5,5,4,2,5,2,1,2,2,3,4,3,3,4,2,1,2,1,1,1,2,1,NA
"150",3,4,3,4,3,2,2,4,2,2,2,2,3,4,3,3,1,3,1,2,1,1,1,1,1,80
"151",3,2,2,2,4,3,3,5,3,3,3,3,3,4,4,2,3,4,1,1,1,1,1,2,2,63
"152",4,3,2,3,3,4,2,5,4,4,1,1,1,5,5,3,3,2,3,1,1,1,2,1,NA,60
"153",2,1,1,NA,4,1,2,5,2,1,2,4,3,1,2,2,NA,2,2,1,2,1,3,2,2,74
"154",3,3,3,3,2,2,1,5,1,3,1,1,2,3,3,2,2,3,1,1,1,1,1,2,NA,22
"155",2,2,2,3,5,2,1,5,1,3,2,4,4,5,3,3,3,3,1,1,1,1,2,2,2,87
"156",NA,1,2,NA,1,1,1,5,3,NA,1,2,2,3,3,3,4,5,1,2,1,1,1,2,1,58
"157",3,2,3,3,3,2,2,4,2,1,3,3,3,3,4,3,2,1,1,1,1,1,1,1,NA,77
"158",3,2,3,3,4,2,3,4,4,2,2,2,2,3,3,3,2,3,2,2,2,1,2,1,1,76
"159",4,2,3,4,4,4,1,5,2,2,2,2,2,3,4,3,1,1,1,1,1,1,2,2,1,57
"160",3,2,4,4,5,2,2,4,2,3,3,3,3,5,5,3,1,3,1,1,2,1,3,1,2,31
"161",4,1,3,3,5,4,1,5,4,1,2,2,3,3,2,2,3,3,1,1,1,1,1,2,1,73
"162",4,3,3,3,4,4,2,2,4,1,2,2,3,3,2,2,2,3,1,1,1,1,1,1,1,68
"163",3,1,3,2,3,2,4,4,5,4,2,2,2,5,4,4,5,1,2,1,1,1,1,1,NA,35
"164",2,3,3,3,4,3,1,5,1,3,2,2,2,3,5,3,4,1,1,1,1,1,2,2,2,25
"165",4,2,3,3,5,3,2,3,4,3,2,2,2,4,3,4,5,5,1,2,1,1,1,2,1,82
"166",2,4,4,3,3,2,1,5,1,3,2,2,2,4,4,4,4,1,1,1,1,1,1,1,2,37
"167",4,2,2,3,5,3,2,4,2,1,2,2,2,3,4,3,3,1,1,1,1,1,1,1,NA,71
"168",3,3,3,3,4,2,2,4,2,3,2,2,2,3,3,3,3,3,2,2,2,1,2,2,1,52
"169",3,3,4,3,4,2,2,4,3,3,2,2,2,4,4,4,4,2,1,1,1,1,2,1,2,76
"170",3,3,4,4,3,1,2,4,1,3,1,2,2,3,4,4,4,1,1,1,1,1,1,2,2,45
"171",5,1,3,3,2,3,1,5,3,1,2,2,3,4,5,4,1,3,2,2,1,2,2,2,1,79
"172",3,3,4,3,3,1,1,5,1,3,1,1,1,3,3,3,3,1,1,1,2,3,3,1,NA,30
"173",3,3,3,3,3,1,1,5,1,3,2,2,2,2,3,3,4,4,2,1,1,1,1,2,2,47
"174",3,3,3,3,5,4,2,4,4,3,3,3,4,3,4,3,3,2,2,1,2,2,2,1,1,56
"175",3,NA,NA,NA,4,2,2,3,2,NA,2,2,2,4,4,3,NA,2,2,2,1,1,2,2,2,90
"176",3,2,1,3,3,2,2,4,3,1,3,3,3,3,3,3,3,3,1,1,2,1,2,2,NA,70
"177",1,1,1,3,1,4,1,5,1,3,2,2,2,4,5,5,2,1,1,1,3,2,3,1,NA,57
"178",5,3,3,4,5,2,1,5,1,4,1,2,2,3,3,4,4,2,1,2,1,1,1,1,1,57
"179",2,2,2,1,4,1,1,5,1,3,1,1,1,5,5,4,3,1,1,1,3,1,1,1,6,23
"180",2,1,1,2,4,2,2,4,2,2,2,2,2,4,3,3,2,2,1,1,1,1,1,1,1,73
"181",5,1,2,3,3,3,2,5,4,1,2,2,2,5,5,NA,3,3,1,2,1,1,1,1,1,73
"182",3,4,5,4,5,2,1,5,1,3,2,2,2,5,5,4,3,1,2,1,2,1,2,2,1,30
"183",3,1,3,3,4,1,1,5,2,3,2,2,2,3,3,3,2,4,2,1,1,2,2,2,2,37
"184",3,4,4,3,3,1,1,5,1,3,2,2,2,2,2,3,3,1,1,1,1,2,3,2,NA,25
"185",3,3,4,4,4,2,2,5,2,3,2,2,2,4,4,4,2,3,1,1,1,2,3,1,2,62
"186",2,3,4,3,4,2,2,3,2,2,1,1,1,5,5,5,4,2,1,1,2,1,3,2,3,68
"187",2,3,3,3,2,1,1,5,1,3,1,1,1,4,4,4,4,3,1,1,1,1,2,2,2,57
"188",3,1,3,3,2,3,1,5,2,1,2,2,2,3,3,3,1,3,1,1,1,1,1,1,NA,53
"189",4,3,3,3,3,4,2,4,4,2,2,2,3,4,3,3,3,1,2,2,1,1,2,1,1,44
"190",3,3,3,2,2,2,1,5,1,3,1,2,2,4,3,3,4,1,1,1,1,1,3,1,NA,26
"191",3,2,2,3,4,2,1,4,3,2,1,1,1,4,4,4,3,4,1,2,3,1,1,1,3,69
"192",4,2,2,4,2,2,1,5,1,3,2,2,2,2,4,3,3,1,1,1,1,1,1,2,1,32
"193",1,2,3,3,3,1,1,5,1,3,1,1,1,4,4,4,3,1,1,1,1,1,1,2,2,39
"194",3,3,4,4,4,2,2,5,1,3,1,1,2,3,3,3,4,3,1,2,1,2,2,1,NA,18
"195",3,2,3,3,3,3,2,4,2,3,2,3,3,3,4,3,3,2,1,1,1,1,2,2,NA,45
"196",3,3,3,4,4,2,1,5,1,4,2,2,2,4,4,4,3,4,1,1,1,1,1,2,NA,62
"197",2,4,4,3,NA,2,1,5,1,3,1,2,1,5,4,4,4,4,1,1,1,1,2,2,NA,19
"198",4,1,1,3,2,1,1,5,1,NA,2,2,2,3,3,2,3,1,1,1,1,1,1,2,NA,56
"199",5,1,1,5,2,4,2,4,4,3,2,2,2,3,4,2,3,3,1,1,1,1,1,2,1,66
"200",NA,NA,NA,4,4,2,2,5,2,3,2,2,2,4,3,4,4,3,2,1,1,1,2,2,NA,69
"201",2,1,3,1,4,1,2,4,4,1,3,3,3,3,1,1,2,2,1,1,1,1,1,2,NA,76
"202",2,3,3,1,2,1,1,5,1,3,1,1,1,4,5,4,3,1,1,1,3,1,3,2,2,32
"203",3,2,3,4,4,2,3,3,4,1,2,3,3,3,1,2,4,3,2,2,2,2,2,1,NA,56
"204",3,3,3,3,4,1,1,5,2,3,3,3,3,3,4,3,3,2,1,1,2,1,2,1,NA,31
"205",3,3,5,3,4,3,1,5,2,3,1,1,1,4,4,4,4,3,NA,NA,NA,NA,NA,2,3,56
"206",2,4,3,4,4,1,2,4,2,3,1,2,1,3,4,3,3,4,1,1,2,1,3,1,3,88
"207",3,3,3,3,3,2,2,5,2,3,2,2,2,3,3,3,4,3,1,1,1,2,1,2,NA,60
"208",3,2,3,3,3,3,1,5,2,3,2,2,2,4,4,4,3,2,1,1,2,1,3,1,2,32
"209",2,1,3,4,1,2,2,4,2,1,4,4,4,3,3,4,1,1,1,1,1,1,2,2,2,36
"210",3,3,3,3,3,2,3,4,4,5,3,2,3,3,3,3,3,2,2,2,1,2,2,2,NA,84
"211",3,1,3,3,5,2,2,4,2,3,3,3,2,3,3,3,3,2,1,1,1,1,1,1,2,74
"212",3,2,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,2,2,2,2,1,2,1,NA,63
"213",3,2,2,1,2,1,1,5,1,3,3,4,4,1,1,1,1,1,1,2,1,1,1,2,NA,50
"214",2,1,3,1,3,2,2,4,2,4,1,1,1,5,5,5,4,3,1,1,2,1,3,1,2,72
"215",3,3,1,1,2,2,1,5,2,2,1,1,1,5,4,4,4,4,1,1,1,1,2,1,6,33
"216",4,1,NA,4,3,3,3,NA,4,1,2,2,3,3,3,2,2,4,2,2,1,2,1,1,9,65
"217",2,2,2,2,2,1,3,3,3,3,1,1,1,5,5,5,2,4,NA,NA,NA,NA,NA,1,NA,23
"218",4,3,4,3,4,2,2,5,3,3,2,3,3,3,3,3,4,5,2,1,1,1,1,2,3,77
"219",3,3,3,3,3,2,1,4,2,3,1,1,2,3,4,3,3,1,1,1,2,1,2,2,NA,26
"220",3,1,3,2,2,1,1,4,4,3,2,2,2,3,2,2,3,2,1,2,2,2,2,1,NA,69
"221",4,2,3,3,3,2,2,4,2,NA,2,2,2,3,4,4,2,1,1,1,1,1,2,2,1,51
"222",3,3,3,3,2,2,1,5,1,3,2,2,2,3,3,3,4,5,1,1,1,1,1,1,2,52
"223",5,2,4,3,4,3,1,5,1,3,2,2,2,4,5,5,1,1,1,1,1,1,1,2,1,67
"224",1,NA,NA,NA,3,2,1,4,1,3,2,2,2,4,4,3,3,1,1,2,2,1,2,2,2,30
"225",3,4,4,3,3,2,1,5,1,3,1,1,1,5,5,5,4,3,1,1,1,1,2,1,3,39
"226",1,2,2,3,3,1,1,5,1,2,2,1,1,5,5,5,1,1,1,3,3,1,3,1,2,63
"227",3,3,3,4,4,4,1,4,4,3,2,3,3,2,2,2,4,3,1,1,1,1,3,1,3,42
"228",2,3,3,3,4,1,2,5,2,4,1,1,1,5,5,5,4,1,1,2,2,1,2,1,4,66
"229",3,3,3,3,3,2,2,4,2,3,2,3,3,2,2,2,3,3,2,2,2,1,2,2,1,70
"230",3,NA,3,4,4,NA,NA,2,5,1,2,3,3,1,2,2,1,5,1,1,1,1,1,2,10,82
"231",3,2,3,3,4,4,2,4,2,1,2,2,2,4,3,3,4,3,1,2,1,1,1,1,1,72
"232",1,5,5,1,5,3,1,5,1,4,1,1,1,5,5,5,3,1,1,1,1,1,3,1,3,46
"233",3,2,3,2,3,1,1,5,1,3,2,2,2,3,4,4,3,1,1,2,1,2,1,1,2,22
"234",2,3,3,3,3,4,1,5,2,4,1,1,1,4,4,4,3,1,1,1,1,2,3,1,NA,47
"235",3,3,3,3,3,2,1,5,3,3,2,2,3,3,3,3,3,1,1,1,1,1,2,2,NA,38
"236",3,3,3,2,3,1,1,5,2,3,1,1,1,5,5,5,4,1,1,2,1,1,3,1,4,69
"237",5,3,3,3,5,3,2,2,3,2,2,2,2,3,3,4,4,4,2,1,1,1,2,1,1,84
"238",2,3,3,1,NA,1,1,5,3,5,2,2,2,5,4,5,4,3,1,1,2,1,2,2,2,68
"239",5,3,4,2,1,4,2,5,2,3,3,3,3,3,1,1,1,1,1,1,1,1,3,2,1,65
"240",3,2,3,1,3,1,1,5,1,4,1,1,1,4,4,4,4,3,1,1,1,1,2,2,11,55
